what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516770760903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516770764466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516770768382
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1516770769945
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1516770770956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516770774840
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1516770775457
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1516770776239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516770778952
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1516770779269
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1516770780066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516770780103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516770780412
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1516770780831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516770780836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516770781361
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1516770781787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516770781792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516770782390
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1516770783010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516770783014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516770783541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516771517534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516771697814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516771703401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772006611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772007040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772008671
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1516772013585
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1516772015977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772017446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772019363
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1516772019374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772020472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772021105
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1516772021121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1516772023550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1516772024167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1516772027041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1516772027570
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.lowerCase",1516772030350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772031615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772037068
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1516772037274
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1516772037354
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1516772037417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772038484
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1516772038587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772042446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772044065
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1516772044173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772049289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772066549
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1516772066666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772070320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772103209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772156373
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516772156419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772165457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772180557
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1516772180598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772207071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772457930
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516772464248
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1516772464490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772468782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772475981
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516772476200
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516772476325
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516772477901
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1516772481522
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1516772481584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516772487744
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516772489304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1516772493730
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516772519013
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516772527583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772528571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772529637
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1516772529677
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1516772558936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772572578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516772574330
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1516772574377
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1516772576835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516772585400
