what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514446527435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514446536521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514446540877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514446556414
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514446556518
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514446556582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1514446567403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514446765322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514447579134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1514447700753
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1514447705479
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1514447730473
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1514447734957
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1514447739435
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1514447743741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514447745057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514447747446
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1514447753053
