what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516516705841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516516708035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516516712292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516516727136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516516748968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516516750828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516518236328
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516518236374
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516518236695
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516518237535
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516518237787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516518263956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516518325110
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1516518325739
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1516518327460
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1516518335788
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1516518337110
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1516518337577
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1516518366174
