what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710834200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710835715
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1514710835771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710838680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710841992
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1514710842041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710846361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710847765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710852626
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514710857027
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514710857027
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1514710858558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710860071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1514710861983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710863768
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514710863839
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514710863859
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1514710863886
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514710869953
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514710869979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710874644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1514710876263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514710878348
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514710878372
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.navigate.open.type",1514710878374
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514710938065
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514710971348
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514710971370
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514710976066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514711227395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514713505435
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1514713508509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514713523484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514713680623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514713686016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514713701157
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514713701255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514713701299
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1514713836074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514713839465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514713840845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1514713841657
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1514713843386
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1514713860251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1514713967654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1514713978682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1514713981361
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1514713983554
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1514714093597
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1514714116773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514714121118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514714142563
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514714142650
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514714142696
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514714190345
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1514714202605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514714210854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514714226745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514714229500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514714233664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514714257150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514714259880
