what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516798938381
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516798941574
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516798956792
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516798956883
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516798968960
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516798969039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516798973333
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516798973333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516799352949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516800909956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516800912094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516800960496
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516800960541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516800966693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516801100073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516801109363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516801112436
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1516801124954
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1516801124968
