what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514181579508
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514181579568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514181614855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514181616324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514181616374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514181616485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514181622139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514181655738
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1514181715355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514181719652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514181757264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514181757327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514181971147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514182229035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514182231143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514182231280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514182235154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514182239803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514182253282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514182258409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514182290089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514183664191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514183681453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514186696802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514186758768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514188475914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514188478628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514188490782
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514188491082
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514188491151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514188494307
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1514188494408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514188497240
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514188499866
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514188500888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1514188523860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514188529739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514188542482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514188544298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514197033264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514197036140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514197318728
